point,col,name,year,lat,long
1,1,Actual,,41.68,82.85
1,2,Coronelli,1688.0,41.62,87.67
1,3,Del'Isle,1703.0,-41.12,-83.03
1,4,Popple,1733.0,-41.03,-85.1
1,5,Belin,1744.0,41.28,82.42
1,6,Belin,1755.0,43.13,82.25
1,7,Mitchell,1755.0,42.05,82.88
1,8,D'Anville,1755.0,42.15,81.63
1,9,Lattre,1784.0,42.03,83.53
1,10,Arrowsmith,1802.0,42.02,82.9
1,11,Cary,1805.0,42.0,82.9
1,12,Melish,1818.0,-41.12,-82.12
2,1,Actual,,41.9,82.52
2,2,Coronelli,1688.0,42.12,87.0
2,3,Del'Isle,1703.0,41.88,82.0
2,4,Popple,1733.0,41.87,85.37
2,5,Belin,1744.0,42.08,81.17
2,6,Belin,1755.0,42.35,81.77
2,7,Mitchell,1755.0,42.23,82.35
2,8,D'Anville,1755.0,42.38,80.78
2,9,Lattre,1784.0,42.25,82.45
2,10,Arrowsmith,1802.0,42.12,82.42
2,11,Cary,1805.0,42.08,82.37
2,12,Melish,1818.0,42.0,82.08
3,1,Actual,,42.25,81.92
3,2,Coronelli,1688.0,42.07,85.97
3,3,Del'Isle,1703.0,42.13,80.78
3,4,Popple,1733.0,41.98,83.78
3,5,Belin,1744.0,42.22,80.2
3,6,Belin,1755.0,42.62,81.37
3,7,Mitchell,1755.0,42.37,81.3
3,8,D'Anville,1755.0,42.53,80.35
3,9,Lattre,1784.0,42.33,81.98
3,10,Arrowsmith,1802.0,42.5,81.87
3,11,Cary,1805.0,42.48,81.87
3,12,Melish,1818.0,42.32,81.75
4,1,Actual,,42.55,80.03
4,2,Coronelli,1688.0,42.47,84.17
4,3,Del'Isle,1703.0,42.13,79.55
4,4,Popple,1733.0,42.0,83.18
4,5,Belin,1744.0,42.07,80.27
4,6,Belin,1755.0,42.83,79.92
4,7,Mitchell,1755.0,42.37,80.03
4,8,D'Anville,1755.0,42.87,78.73
4,9,Lattre,1784.0,42.33,80.65
4,10,Arrowsmith,1802.0,42.68,80.15
4,11,Cary,1805.0,42.67,80.18
4,12,Melish,1818.0,42.55,80.08
5,1,Actual,,44.05,83.03
5,2,Coronelli,1688.0,43.42,87.25
5,3,Del'Isle,1703.0,44.23,83.6
5,4,Popple,1733.0,44.13,86.85
5,5,Belin,1744.0,44.6,83.5
5,6,Belin,1755.0,44.62,85.5
5,7,Mitchell,1755.0,44.75,83.57
5,8,D'Anville,1755.0,44.47,81.75
5,9,Lattre,1784.0,44.75,84.33
5,10,Arrowsmith,1802.0,44.35,82.9
5,11,Cary,1805.0,44.32,82.9
5,12,Melish,1818.0,44.27,83.0
6,1,Actual,,43.65,83.95
6,2,Coronelli,1688.0,43.12,87.92
6,3,Del'Isle,1703.0,43.25,84.48
6,4,Popple,1733.0,43.8,87.1
6,5,Belin,1744.0,43.72,83.23
6,6,Belin,1755.0,43.62,85.25
6,7,Mitchell,1755.0,44.03,83.47
6,8,D'Anville,1755.0,44.03,81.72
6,9,Lattre,1784.0,44.03,84.22
6,10,Arrowsmith,1802.0,44.07,83.6
6,11,Cary,1805.0,44.03,83.57
6,12,Melish,1818.0,-44.07,-83.12
7,1,Actual,,44.25,83.45
7,2,Coronelli,1688.0,43.63,87.62
7,3,Del'Isle,1703.0,44.43,83.83
7,4,Popple,1733.0,44.2,87.0
7,5,Belin,1744.0,44.78,83.83
7,6,Belin,1755.0,44.82,85.75
7,7,Mitchell,1755.0,44.95,83.72
7,8,D'Anville,1755.0,44.62,81.97
7,9,Lattre,1784.0,44.92,84.47
7,10,Arrowsmith,1802.0,44.5,83.15
7,11,Cary,1805.0,44.47,83.13
7,12,Melish,1818.0,44.63,83.13
8,1,Actual,,45.87,84.87
8,2,Coronelli,1688.0,45.05,89.62
8,3,Del'Isle,1703.0,-45.12,-85.08
8,4,Popple,1733.0,-45.13,-87.15
8,5,Belin,1744.0,45.67,85.62
8,6,Belin,1755.0,45.67,87.67
8,7,Mitchell,1755.0,45.55,85.1
8,8,D'Anville,1755.0,45.18,84.08
8,9,Lattre,1784.0,-45.1,-85.03
8,10,Arrowsmith,1802.0,-46.0,-84.07
8,11,Cary,1805.0,-46.0,-84.08
8,12,Melish,1818.0,-46.13,-84.1
9,1,Actual,,45.93,80.9
9,2,Coronelli,1688.0,45.38,85.58
9,3,Del'Isle,1703.0,45.57,85.37
9,4,Popple,1733.0,45.15,83.9
9,5,Belin,1744.0,45.75,78.73
9,6,Belin,1755.0,45.9,80.78
9,7,Mitchell,1755.0,45.88,80.03
9,8,D'Anville,1755.0,46.0,79.93
9,9,Lattre,1784.0,45.63,80.68
9,10,Arrowsmith,1802.0,45.83,81.05
9,11,Cary,1805.0,45.8,81.05
9,12,Melish,1818.0,45.72,81.38
10,1,Actual,,46.23,83.57
10,2,Coronelli,1688.0,45.6,87.75
10,3,Del'Isle,1703.0,45.73,84.42
10,4,Popple,1733.0,45.1,87.22
10,5,Belin,1744.0,46.0,84.3
10,6,Belin,1755.0,45.95,86.25
10,7,Mitchell,1755.0,45.8,84.03
10,8,D'Anville,1755.0,45.48,81.83
10,9,Lattre,1784.0,45.72,84.68
10,10,Arrowsmith,1802.0,46.08,82.73
10,11,Cary,1805.0,46.05,82.72
10,12,Melish,1818.0,45.92,83.82
11,1,Actual,,45.8,81.58
11,2,Coronelli,1688.0,45.38,86.57
11,3,Del'Isle,1703.0,45.17,82.55
11,4,Popple,1733.0,44.9,85.08
11,5,Belin,1744.0,45.82,81.33
11,6,Belin,1755.0,45.78,83.33
11,7,Mitchell,1755.0,45.7,81.97
11,8,D'Anville,1755.0,45.57,79.52
11,9,Lattre,1784.0,45.67,82.6
11,10,Arrowsmith,1802.0,-45.15,-81.05
11,11,Cary,1805.0,-45.15,-81.05
11,12,Melish,1818.0,-46.15,-81.08
12,1,Actual,,45.9,83.22
12,2,Coronelli,1688.0,45.22,87.67
12,3,Del'Isle,1703.0,45.33,84.18
12,4,Popple,1733.0,44.85,86.95
12,5,Belin,1744.0,45.85,83.8
12,6,Belin,1755.0,45.7,86.28
12,7,Mitchell,1755.0,45.67,83.68
12,8,D'Anville,1755.0,45.33,81.35
12,9,Lattre,1784.0,45.55,84.25
12,10,Arrowsmith,1802.0,-46.0,-82.13
12,11,Cary,1805.0,-46.0,-82.13
12,12,Melish,1818.0,-46.13,-83.0
13,1,Actual,,44.25,86.33
13,2,Coronelli,1688.0,43.53,89.87
13,3,Del'Isle,1703.0,-44.0,-87.03
13,4,Popple,1733.0,-43.15,-89.1
13,5,Belin,1744.0,44.25,85.92
13,6,Belin,1755.0,44.2,88.17
13,7,Mitchell,1755.0,44.45,85.38
13,8,D'Anville,1755.0,44.15,83.55
13,9,Lattre,1784.0,44.45,86.0
13,10,Arrowsmith,1802.0,44.22,84.87
13,11,Cary,1805.0,44.2,84.92
13,12,Melish,1818.0,44.08,85.25
14,1,Actual,,43.95,86.45
14,2,Coronelli,1688.0,43.17,89.83
14,3,Del'Isle,1703.0,43.93,86.0
14,4,Popple,1733.0,43.57,88.77
14,5,Belin,1744.0,44.08,85.77
14,6,Belin,1755.0,43.75,87.8
14,7,Mitchell,1755.0,44.33,85.28
14,8,D'Anville,1755.0,43.93,83.52
14,9,Lattre,1784.0,44.37,85.88
14,10,Arrowsmith,1802.0,44.02,84.88
14,11,Cary,1805.0,44.0,84.9
14,12,Melish,1818.0,43.82,85.25
15,1,Actual,,43.07,86.25
15,2,Coronelli,1688.0,42.2,90.13
15,3,Del'Isle,1703.0,43.12,86.18
15,4,Popple,1733.0,42.97,89.1
15,5,Belin,1744.0,42.87,85.13
15,6,Belin,1755.0,42.8,87.17
15,7,Mitchell,1755.0,43.42,84.85
15,8,D'Anville,1755.0,43.47,83.97
15,9,Lattre,1784.0,43.43,85.55
15,10,Arrowsmith,1802.0,43.33,84.9
15,11,Cary,1805.0,43.3,84.93
15,12,Melish,1818.0,42.92,85.12
16,1,Actual,,42.4,86.28
16,2,Coronelli,1688.0,41.87,90.33
16,3,Del'Isle,1703.0,42.47,86.2
16,4,Popple,1733.0,42.2,89.22
16,5,Belin,1744.0,41.85,84.92
16,6,Belin,1755.0,41.72,87.05
16,7,Mitchell,1755.0,42.58,84.75
16,8,D'Anville,1755.0,42.77,84.52
16,9,Lattre,1784.0,42.55,85.63
16,10,Arrowsmith,1802.0,42.72,85.08
16,11,Cary,1805.0,42.7,85.08
16,12,Melish,1818.0,42.18,85.12
17,1,Actual,,42.12,86.48
17,2,Coronelli,1688.0,41.75,90.65
17,3,Del'Isle,1703.0,41.88,86.22
17,4,Popple,1733.0,41.87,89.58
17,5,Belin,1744.0,41.63,85.25
17,6,Belin,1755.0,41.55,87.38
17,7,Mitchell,1755.0,42.43,85.12
17,8,D'Anville,1755.0,42.53,84.82
17,9,Lattre,1784.0,42.25,85.77
17,10,Arrowsmith,1802.0,42.5,85.22
17,11,Cary,1805.0,42.5,85.18
17,12,Melish,1818.0,42.0,85.18
18,1,Actual,,41.88,87.62
18,2,Coronelli,1688.0,41.88,93.63
18,3,Del'Isle,1703.0,42.17,88.12
18,4,Popple,1733.0,41.67,90.65
18,5,Belin,1744.0,41.75,86.5
18,6,Belin,1755.0,41.75,88.67
18,7,Mitchell,1755.0,42.63,86.08
18,8,D'Anville,1755.0,42.62,85.63
18,9,Lattre,1784.0,42.63,86.8
18,10,Arrowsmith,1802.0,42.52,86.03
18,11,Cary,1805.0,42.52,86.03
18,12,Melish,1818.0,42.08,86.15
19,1,Actual,,44.53,88.0
19,2,Coronelli,1688.0,43.58,93.92
19,3,Del'Isle,1703.0,43.82,89.15
19,4,Popple,1733.0,43.22,91.53
19,5,Belin,1744.0,43.42,88.33
19,6,Belin,1755.0,43.33,90.33
19,7,Mitchell,1755.0,43.83,87.15
19,8,D'Anville,1755.0,44.0,85.67
19,9,Lattre,1784.0,43.82,87.85
19,10,Arrowsmith,1802.0,44.28,86.35
19,11,Cary,1805.0,44.3,86.33
19,12,Melish,1818.0,44.18,86.88
20,1,Actual,,45.95,86.25
20,2,Coronelli,1688.0,45.47,90.7
20,3,Del'Isle,1703.0,-45.12,-87.03
20,4,Popple,1733.0,-45.13,-89.1
20,5,Belin,1744.0,45.58,87.67
20,6,Belin,1755.0,45.62,89.58
20,7,Mitchell,1755.0,45.5,86.67
20,8,D'Anville,1755.0,45.3,84.0
20,9,Lattre,1784.0,45.52,87.18
20,10,Arrowsmith,1802.0,45.6,85.25
20,11,Cary,1805.0,45.55,85.22
20,12,Melish,1818.0,45.63,85.45
21,1,Actual,,47.93,84.85
21,2,Coronelli,1688.0,48.75,88.0
21,3,Del'Isle,1703.0,48.08,85.28
21,4,Popple,1733.0,47.9,88.13
21,5,Belin,1744.0,49.25,85.75
21,6,Belin,1755.0,49.25,87.7
21,7,Mitchell,1755.0,48.33,84.92
21,8,D'Anville,1755.0,47.7,83.47
21,9,Lattre,1784.0,48.22,85.63
21,10,Arrowsmith,1802.0,47.95,84.97
21,11,Cary,1805.0,47.92,84.93
21,12,Melish,1818.0,47.92,85.0
22,1,Actual,,46.93,84.53
22,2,Coronelli,1688.0,47.67,88.7
22,3,Del'Isle,1703.0,47.28,85.55
22,4,Popple,1733.0,47.2,88.53
22,5,Belin,1744.0,46.88,85.08
22,6,Belin,1755.0,46.72,87.17
22,7,Mitchell,1755.0,46.42,84.6
22,8,D'Anville,1755.0,46.3,82.58
22,9,Lattre,1784.0,46.4,85.27
22,10,Arrowsmith,1802.0,47.3,84.37
22,11,Cary,1805.0,-46.15,-84.02
22,12,Melish,1818.0,-47.13,-84.03
23,1,Actual,,48.18,88.42
23,2,Coronelli,1688.0,47.92,94.28
23,3,Del'Isle,1703.0,47.75,89.62
23,4,Popple,1733.0,48.63,91.47
23,5,Belin,1744.0,48.12,90.63
23,6,Belin,1755.0,48.08,92.55
23,7,Mitchell,1755.0,47.37,88.57
23,8,D'Anville,1755.0,46.68,86.35
23,9,Lattre,1784.0,47.42,89.17
23,10,Arrowsmith,1802.0,48.28,88.63
23,11,Cary,1805.0,48.27,88.68
23,12,Melish,1818.0,48.27,88.73
24,1,Actual,,47.85,89.23
24,2,Coronelli,1688.0,47.53,95.75
24,3,Del'Isle,1703.0,47.67,90.78
24,4,Popple,1733.0,48.6,92.45
24,5,Belin,1744.0,47.8,92.33
24,6,Belin,1755.0,47.8,94.33
24,7,Mitchell,1755.0,47.22,89.78
24,8,D'Anville,1755.0,46.38,87.05
24,9,Lattre,1784.0,47.12,90.5
24,10,Arrowsmith,1802.0,48.05,89.42
24,11,Cary,1805.0,48.07,89.37
24,12,Melish,1818.0,48.13,89.4
25,1,Actual,,46.75,92.1
25,2,Coronelli,1688.0,46.2,99.22
25,3,Del'Isle,1703.0,-46.08,-93.15
25,4,Popple,1733.0,47.92,94.57
25,5,Belin,1744.0,46.42,94.22
25,6,Belin,1755.0,46.53,96.5
25,7,Mitchell,1755.0,46.1,91.53
25,8,D'Anville,1755.0,45.65,89.47
25,9,Lattre,1784.0,45.97,92.23
25,10,Arrowsmith,1802.0,46.8,92.17
25,11,Cary,1805.0,46.78,92.18
25,12,Melish,1818.0,46.73,92.17
26,1,Actual,,46.87,89.33
26,2,Coronelli,1688.0,45.85,95.95
26,3,Del'Isle,1703.0,46.13,91.12
26,4,Popple,1733.0,-46.15,-93.0
26,5,Belin,1744.0,46.58,90.78
26,6,Belin,1755.0,46.48,92.78
26,7,Mitchell,1755.0,46.22,88.78
26,8,D'Anville,1755.0,45.77,87.13
26,9,Lattre,1784.0,46.15,89.42
26,10,Arrowsmith,1802.0,46.88,89.42
26,11,Cary,1805.0,46.92,89.4
26,12,Melish,1818.0,46.92,89.32
27,1,Actual,,46.75,88.45
27,2,Coronelli,1688.0,45.6,94.42
27,3,Del'Isle,1703.0,45.97,89.57
27,4,Popple,1733.0,46.15,91.77
27,5,Belin,1744.0,46.0,89.17
27,6,Belin,1755.0,45.83,91.08
27,7,Mitchell,1755.0,45.72,87.62
27,8,D'Anville,1755.0,45.45,86.05
27,9,Lattre,1784.0,45.72,88.38
27,10,Arrowsmith,1802.0,46.83,88.63
27,11,Cary,1805.0,46.83,88.67
27,12,Melish,1818.0,46.82,88.73
28,1,Actual,,47.4,87.7
28,2,Coronelli,1688.0,46.88,93.55
28,3,Del'Isle,1703.0,46.82,89.05
28,4,Popple,1733.0,47.92,91.53
28,5,Belin,1744.0,47.08,89.25
28,6,Belin,1755.0,46.98,91.17
28,7,Mitchell,1755.0,46.62,87.6
28,8,D'Anville,1755.0,46.23,85.75
28,9,Lattre,1784.0,46.57,88.22
28,10,Arrowsmith,1802.0,45.58,88.05
28,11,Cary,1805.0,47.58,88.05
28,12,Melish,1818.0,47.73,88.13
29,1,Actual,,43.27,79.03
29,2,Coronelli,1688.0,43.0,83.42
29,3,Del'Isle,1703.0,43.2,78.58
29,4,Popple,1733.0,42.8,80.5
29,5,Belin,1744.0,42.93,76.43
29,6,Belin,1755.0,43.5,78.75
29,7,Mitchell,1755.0,43.42,78.25
29,8,D'Anville,1755.0,43.52,77.48
29,9,Lattre,1784.0,43.35,79.0
29,10,Arrowsmith,1802.0,43.27,79.07
29,11,Cary,1805.0,43.23,79.07
29,12,Melish,1818.0,43.27,79.0
30,1,Actual,,44.22,76.48
30,2,Coronelli,1688.0,44.12,80.5
30,3,Del'Isle,1703.0,44.23,79.1
30,4,Popple,1733.0,45.0,77.95
30,5,Belin,1744.0,44.13,72.83
30,6,Belin,1755.0,44.5,77.0
30,7,Mitchell,1755.0,44.45,75.87
30,8,D'Anville,1755.0,44.78,74.9
30,9,Lattre,1784.0,44.4,76.5
30,10,Arrowsmith,1802.0,44.17,76.72
30,11,Cary,1805.0,44.15,76.72
30,12,Melish,1818.0,44.27,76.5
31,1,Actual,,43.63,79.47
31,2,Coronelli,1688.0,43.55,83.92
31,3,Del'Isle,1703.0,43.85,79.15
31,4,Popple,1733.0,43.72,81.05
31,5,Belin,1744.0,44.08,76.72
31,6,Belin,1755.0,-43.08,-79.0
31,7,Mitchell,1755.0,43.8,78.7
31,8,D'Anville,1755.0,43.8,77.52
31,9,Lattre,1784.0,43.85,79.55
31,10,Arrowsmith,1802.0,43.67,79.52
31,11,Cary,1805.0,43.63,79.53
31,12,Melish,1818.0,-44.07,-79.08
32,1,Actual,,44.2,76.97
32,2,Coronelli,1688.0,-43.13,-80.03
32,3,Del'Isle,1703.0,-44.0,-76.07
32,4,Popple,1733.0,-43.15,-78.13
32,5,Belin,1744.0,44.42,74.0
32,6,Belin,1755.0,-44.03,-75.08
32,7,Mitchell,1755.0,44.57,76.27
32,8,D'Anville,1755.0,44.8,75.35
32,9,Lattre,1784.0,44.58,77.0
32,10,Arrowsmith,1802.0,44.12,77.25
32,11,Cary,1805.0,44.13,77.23
32,12,Melish,1818.0,-45.02,-77.02
33,1,Actual,,44.1,77.58
33,2,Coronelli,1688.0,-43.12,-81.0
33,3,Del'Isle,1703.0,-44.0,-77.02
33,4,Popple,1733.0,-43.13,-79.08
33,5,Belin,1744.0,44.53,75.08
33,6,Belin,1755.0,44.38,77.85
33,7,Mitchell,1755.0,44.65,76.72
33,8,D'Anville,1755.0,44.7,75.63
33,9,Lattre,1784.0,44.78,77.48
33,10,Arrowsmith,1802.0,44.05,77.77
33,11,Cary,1805.0,44.05,77.78
33,12,Melish,1818.0,44.08,77.57
34,1,Actual,,42.9,78.92
34,2,Coronelli,1688.0,42.87,83.57
34,3,Del'Isle,1703.0,42.68,78.78
34,4,Popple,1733.0,42.15,80.47
34,5,Belin,1744.0,42.98,76.75
34,6,Belin,1755.0,43.33,78.83
34,7,Mitchell,1755.0,42.97,78.37
34,8,D'Anville,1755.0,43.13,77.52
34,9,Lattre,1784.0,42.97,79.08
34,10,Arrowsmith,1802.0,42.88,78.98
34,11,Cary,1805.0,42.88,78.98
34,12,Melish,1818.0,42.73,80.65
35,1,Actual,,42.37,82.92
35,2,Coronelli,1688.0,42.53,87.33
35,3,Del'Isle,1703.0,42.48,82.05
35,4,Popple,1733.0,42.28,85.28
35,5,Belin,1744.0,42.55,82.0
35,6,Belin,1755.0,42.88,82.83
35,7,Mitchell,1755.0,42.88,82.62
35,8,D'Anville,1755.0,42.77,81.27
35,9,Lattre,1784.0,42.8,83.25
35,10,Arrowsmith,1802.0,42.62,82.77
35,11,Cary,1805.0,42.63,82.7
35,12,Melish,1818.0,42.68,82.63
36,1,Actual,,42.62,82.53
36,2,Coronelli,1688.0,42.8,86.92
36,3,Del'Isle,1703.0,42.97,81.88
36,4,Popple,1733.0,42.6,85.1
36,5,Belin,1744.0,42.82,81.75
36,6,Belin,1755.0,43.25,82.75
36,7,Mitchell,1755.0,43.08,82.38
36,8,D'Anville,1755.0,42.87,80.88
36,9,Lattre,1784.0,43.02,83.07
36,10,Arrowsmith,1802.0,42.82,82.28
36,11,Cary,1805.0,42.82,82.22
36,12,Melish,1818.0,43.0,82.13
37,1,Actual,,45.27,81.65
37,2,Coronelli,1688.0,44.3,84.92
37,3,Del'Isle,1703.0,44.52,81.57
37,4,Popple,1733.0,44.32,84.42
37,5,Belin,1744.0,44.8,80.37
37,6,Belin,1755.0,44.83,81.5
37,7,Mitchell,1755.0,44.97,81.25
37,8,D'Anville,1755.0,45.08,79.55
37,9,Lattre,1784.0,44.92,82.02
37,10,Arrowsmith,1802.0,45.4,80.83
37,11,Cary,1805.0,45.42,80.83
37,12,Melish,1818.0,45.08,81.65
38,1,Actual,,45.3,86.98
38,2,Coronelli,1688.0,44.37,91.92
38,3,Del'Isle,1703.0,45.17,86.15
38,4,Popple,1733.0,44.48,90.45
38,5,Belin,1744.0,44.58,87.67
38,6,Belin,1755.0,44.57,89.57
38,7,Mitchell,1755.0,44.73,86.58
38,8,D'Anville,1755.0,44.7,84.63
38,9,Lattre,1784.0,44.75,87.25
38,10,Arrowsmith,1802.0,45.08,85.52
38,11,Cary,1805.0,45.07,85.52
38,12,Melish,1818.0,45.08,86.07
39,1,Actual,,46.48,84.63
39,2,Coronelli,1688.0,46.1,89.45
39,3,Del'Isle,1703.0,46.13,88.02
39,4,Popple,1733.0,46.07,88.63
39,5,Belin,1744.0,46.2,85.7
39,6,Belin,1755.0,46.1,87.57
39,7,Mitchell,1755.0,45.9,85.03
39,8,D'Anville,1755.0,45.77,82.93
39,9,Lattre,1784.0,45.88,85.72
39,10,Arrowsmith,1802.0,46.42,84.33
39,11,Cary,1805.0,46.4,84.32
39,12,Melish,1818.0,46.45,84.88
