USAF,WBAN,STATION_NAME,CTRY,CALL,LAT,LON,ELEV,BEGIN,END
11160,99999,SANDNESSJOEN AP,NO,ENST,65.95,12.467,170.0,19730401.0,20140206.0
12820,99999,RORVIK AP,NO,ENRM,64.833,11.133,40.0,19950901.0,20140206.0
21010,99999,HEMAVAN,SN,ESUT,65.8,15.083,4630.0,19730102.0,20140206.0
28690,99999,KUUSAMO,FI,EFKS,65.967,29.183000000000003,2630.0,19090101.0,20140206.0
35900,99999,WATTISHAM,UK,EGUW,52.117,0.9670000000000001,890.0,19730101.0,20140206.0
42605,99999,FREDICKSHAB/PAAMIUT,GL,BGPT,61.983000000000004,-49.7,130.0,20080423.0,20140206.0
71680,99999,TROYES BARBEREY,FR,LFQB,48.333,4.0169999999999995,1180.0,19750618.0,20140206.0
75100,99999,BORDEAUX MERIGNAC,FR,LFBD,44.831,-0.691,540.0,19310101.0,20140206.0
85340,99999,MONTIJO,PO,LPMT,38.7,-9.033,110.0,19830503.0,20140206.0
107750,99999,HOHENFELS,DL,ETIH,49.217,11.833,4420.0,19610918.0,20140206.0
122120,99999,SWIDWIN,PL,EPSN,53.783,15.817,1170.0,19400402.0,20140206.0
144440,99999,SPLIT/RESNIK,RH,LDSP,43.533,16.3,210.0,19960201.0,20140206.0
160200,99999,BOLZANO,IY,LIPB,46.467,11.333,2410.0,19650129.0,20140206.0
162591,99999,PARMA,IY,LIMP,44.817,10.283,490.0,20040525.0,20140205.0
166990,99999,TANAGRA (AIRPORT),GR,LGTG,38.317,23.533,1400.0,19651204.0,20140205.0
172700,99999,SANLIURFA,TU,LTCH,37.133,38.766999999999996,5490.0,19630105.0,20140206.0
218240,99999,TIKSI,RA,UEST,71.583,128.917,70.0,19331205.0,20140206.0
255630,99999,ANADYR,RA,UHMA,64.783,177.567,610.0,19331201.0,20140206.0
303090,99999,BRATSK,RA,UIBB,56.283,101.75,4160.0,19340202.0,20140206.0
352290,99999,AKTOBE,RA,UATT,50.283,57.15,2190.0,19320101.0,20140206.0
370540,99999,MINERALNYE VODY,RS,URMM,44.233000000000004,43.067,3160.0,19550101.0,20140206.0
406210,99999,KIRKUK,IQ,ORKK,35.467,44.4,3310.0,19370105.0,20140206.0
410240,99999,JEDDAH/KING ABDUL AZ,SD,OEJN,21.7,39.183,170.0,19830101.0,20140206.0
426670,99999,BHOPAL/BAIRAGARH,IN,VABP,23.283,77.35,5230.0,19440101.0,20140206.0
434360,99999,BATTICALOA,SB,VCCB,7.7170000000000005,81.7,60.0,19570701.0,20140206.0
477473,99999,TAJIMA,JP,RJBT,35.5,134.783,1830.0,19961020.0,20140206.0
478570,99999,MIYAZAKI AIRPORT,JP,RJFM,31.866999999999997,131.45,90.0,19730101.0,20140206.0
481100,99999,MERGUI,BM,VBRN,12.433,98.6,370.0,19490101.0,20140206.0
484300,99999,PRACHIN BURI,TH,VTBI,14.05,101.367,60.0,19490103.0,20140206.0
486150,99999,KOTA BHARU,MS,WMKC,6.167000000000001,102.28299999999999,50.0,19490105.0,20140206.0
605900,99999,EL-GOLEA,AL,DAUE,30.566999999999997,2.867,3980.0,19490130.0,20140206.0
610450,99999,GOURE,NR,DRZG,13.982999999999999,10.3,4600.0,19830502.0,20140205.0
626410,99999,PORT SUDAN,SU,HSSP,19.583,37.217,420.0,19490205.0,20140205.0
637560,99999,MWANZA,TN,HTMW,-2.467,32.917,11400.0,19500108.0,20140206.0
655020,99999,OUAHIGOUYA,HV,DFCC,13.567,-2.417,3360.0,19730101.0,20140206.0
676650,99999,LUSAKA INTERNATIONA,ZB,FLLS,-15.317,28.45,11540.0,19730101.0,20140123.0
683800,99999,CAROLINA,ZA,FACL,-26.066999999999997,30.116999999999997,17000.0,19580501.0,20140206.0
691226,99999,METHAR LAM PRT,AH,KQM1,34.68,70.2,8000.0,20090301.0,20140205.0
700634,27408,UGNU-KUPARUK AIRPORT,US,PAKU,70.331,-149.59799999999998,204.0,20060101.0,20140217.0
700634,99999,UGNU-KUPARUK AIRPORT,US,PAKU,70.317,-149.583,200.0,19810220.0,20051231.0
702686,99999,AKIAK,US,PAKI,60.9,-161.233,90.0,20060501.0,20140206.0
704890,25616,DUTCH HARBOR,US,PADU,53.895,-166.543,40.0,20081124.0,20140217.0
704890,99999,DUTCH HARBOR,US,PADU,53.9,-166.55,40.0,19460101.0,20081130.0
710590,99999,CROKER RIVER,CN,CWXR,69.267,-119.21700000000001,690.0,19981224.0,20140206.0
711300,99999,NIPAWIN,CN,CYBU,53.333,-104.01700000000001,3720.0,19770701.0,20140206.0
712110,99999,HOWE SOUND,CN,CWAS,49.483000000000004,-123.28299999999999,100.0,19961101.0,20140206.0
712840,99999,BUSBY AGCM,CN,CPBB,53.917,-113.917,7140.0,19941201.0,20140206.0
713600,99999,EDGERTON AGCM,CN,PEA,52.783,-110.43299999999999,6490.0,20071124.0,20140205.0
714370,99999,BURLINGTON PIERS,CN,CWWB,43.3,-79.8,770.0,19910501.0,20101231.0
715080,99999,TORONTO CITY,CN,XTO,43.667,-79.4,1130.0,20040803.0,20140206.0
715860,99999,LA RONGE RCS,CN,CXOX,55.15,-105.26700000000001,3790.0,20010829.0,20101231.0
716890,99999,FORT MCMURRAY ARPT,CN,CYMM,56.653,-111.223,3690.0,20070228.0,20140206.0
717660,99999,QUALICUM AIRPORT,CN,VOQ,49.333,-124.4,580.0,20080322.0,20140206.0
718410,99999,ARMSTRONG,CN,CWYW,50.3,-89.03299999999999,3510.0,19500101.0,20140206.0
719630,99999,HANBURY RIVER(AUT),CN,CWQY,63.583,-105.15,3170.0,19930607.0,20140206.0
720286,53977,GRANBURY MUNI,US,KGDJ,32.444,-97.81700000000001,2371.0,20060101.0,20140217.0
720286,99999,GRANBURY MUNI,US,KGDJ,32.45,-97.81700000000001,2370.0,20040525.0,20051231.0
720377,13917,NEWPORT MUNI,US,KM19,35.633,-91.167,0.0,20110101.0,20130630.0
720377,99999,NEWPORT MUNI,US,KM19,35.638000000000005,-91.176,730.0,20060501.0,20140205.0
720545,99999,CHESTER AIRPORT,US,KSNC,41.38399999999999,-72.506,1270.0,20080817.0,20140206.0
720671,99999,JESUP WAYNE CO,US,KJES,31.554000000000002,-81.883,330.0,20100111.0,20140206.0
720925,99999,ATLANTIS,US,KATP,27.2,-90.03299999999999,500.0,20110104.0,20140206.0
721041,99999,MARCO ISLAND,US,KMKY,25.995,-81.673,20.0,20120802.0,20140206.0
722095,3030,GUYMON MUNI,US,KGUY,36.681999999999995,-101.505,9485.0,20060101.0,20140217.0
722095,99999,GUYMON MUNI,US,KGUY,36.685,-101.5,9520.0,20040319.0,20051231.0
722178,53953,ROBERT S KERR,US,KRKR,35.021,-94.62100000000001,1375.0,20060101.0,20140217.0
722178,99999,ROBERT S KERR,US,KRKR,35.016999999999996,-94.617,1370.0,20040525.0,20051231.0
722275,53843,ANDALUSIA OPP,US,K79J,31.309,-86.39399999999999,945.0,20060103.0,20140217.0
722275,99999,ANDALUSIA OPP,US,K79J,31.309,-86.39399999999999,940.0,19730101.0,20051230.0
722469,53912,C DAVID CAMPBELL FLD,US,KCRS,32.031,-96.399,1359.0,20060101.0,20140217.0
722469,99999,C DAVID CAMPBELL FLD,US,KCRS,32.033,-96.4,1370.0,19990114.0,20051231.0
722654,23091,FT STOCKTON\PECOS,US,KFST,30.912,-102.917,9174.0,20060101.0,20140217.0
722925,93117,SAN CLEMENTE ISLAND,US,KNUC,33.023,-118.588,555.0,19430610.0,20140215.0
722925,99999,SAN CLEMENTE ISLAND,US,KNUC,33.016999999999996,-118.583,560.0,20000103.0,20031231.0
723148,63859,FOOTHILLS RGNL,US,KMRN,35.821,-81.611,3871.0,20060101.0,20140217.0
723148,99999,FOOTHILLS RGNL,US,KMRN,35.817,-81.617,3870.0,20010811.0,20051231.0
723535,13909,VANCE AFB,US,KEND,36.333,-97.917,3984.0,20060103.0,20140217.0
723535,99999,VANCE AFB,US,KEND,36.333,-97.917,3980.0,19420101.0,20051222.0
723930,93214,VANDENBERG AFB,US,KVBG,34.717,-120.56700000000001,1119.0,20060101.0,20140217.0
723930,99999,VANDENBERG AFB,US,KVBG,34.75,-120.56700000000001,1210.0,19510703.0,20051231.0
724220,93820,LEXINGTON/BLUE GRAS,US,KLEX,38.041,-84.60600000000001,3014.0,18930101.0,20140217.0
724490,13993,ST. JOSEPH/ROSE-CRA,US,KSTJ,39.774,-94.92299999999999,2493.0,19440301.0,20140217.0
724490,99999,ST. JOSEPH/ROSE-CRA,US,KSTJ,39.766999999999996,-94.917,2490.0,20000101.0,20031231.0
724833,23206,SACRAMENTO MATHER FL,US,KMHR,38.567,-121.3,293.0,20040101.0,20140217.0
724833,99999,SACRAMENTO MATHER FL,US,KMHR,38.555,-121.29700000000001,300.0,19880304.0,20031231.0
725105,14770,PENN VALLEY,US,KSEG,40.821,-76.86399999999999,1372.0,19990114.0,20140217.0
725105,99999,PENN VALLEY,US,KSEG,40.817,-76.867,1370.0,20000101.0,20031231.0
725327,4846,PORTER CO MUNI,US,KVPZ,41.453,-87.006,2347.0,20060101.0,20140217.0
725327,99999,PORTER CO MUNI,US,KVPZ,41.45,-87.0,2410.0,19990114.0,20051231.0
725479,4937,SCHENCK FLD,US,KICL,40.722,-95.02600000000001,3024.0,20060101.0,20140217.0
725479,99999,SCHENCK FLD,US,KICL,40.717,-95.03299999999999,3020.0,19950423.0,20051231.0
725785,24145,IDAHO FALLS RGNL,US,KIDA,43.516000000000005,-112.06700000000001,14460.0,19730101.0,20140217.0
726380,94814,HOUGHTON LAKE/ROSCO,US,KHTL,44.358999999999995,-84.67399999999999,3536.0,19730101.0,20140217.0
726545,94950,MITCHELL MUNI,US,KMHE,43.773999999999994,-98.038,3972.0,20060101.0,20140217.0
726545,99999,MITCHELL MUNI,US,KMHE,43.775,-98.039,3970.0,19730101.0,20051231.0
726818,94194,REXBURG MADISON CO,US,KRXE,43.833999999999996,-111.804,14807.0,19990114.0,20140217.0
727506,4952,WINDOM MUNI,US,KMWM,43.913000000000004,-95.109,4298.0,20060101.0,20140217.0
727506,99999,WINDOM MUNI,US,KMWM,43.917,-95.117,4300.0,19990114.0,20051231.0
727985,94276,FRIDAY HARBOR,US,KFHR,48.522,-123.023,332.0,20060101.0,20140217.0
727985,99999,FRIDAY HARBOR,US,KFHR,48.522,-123.024,340.0,19881014.0,20051231.0
746935,3709,ASHEBORO RGNL,US,KHBI,35.654,-79.895,2051.0,20060101.0,20140217.0
746935,99999,ASHEBORO RGNL,US,KHBI,35.65,-79.9,2050.0,20010811.0,20051231.0
766753,99999,LICENCIADO ADOLFO L,MX,MMTO,19.333,-99.56700000000001,25800.0,19870320.0,20140206.0
787330,99999,RIVAS,NK,MNRS,11.417,-85.833,700.0,19750618.0,20140205.0
804100,99999,BARQUISIMETO,VN,SVBM,10.067,-69.317,6140.0,19500106.0,20140206.0
825910,99999,MOCORO/17 ROSADO,BZ,SBMS,-5.2,-37.367,230.0,19730101.0,20140205.0
837790,99999,MARTE,BZ,SBMT,-23.5,-46.633,7220.0,19730101.0,20140206.0
845340,99999,TINGO MARIA,PR,SPGM,-9.283,-76.0,6650.0,19490222.0,20140205.0
858640,99999,COYHAIQUE,CH,SCCY,-45.583,-72.1,3430.0,19630101.0,20140206.0
873280,99999,VILLA DOLORES AERO,AG,SAOD,-31.95,-65.132,5840.0,19730101.0,20140205.0
911620,22501,BARKING SANDS /BONH,US,PHBK,22.033,-159.783,37.0,19420422.0,20140217.0
916830,99999,NAUSORI,FJ,NFNA,-18.05,178.567,70.0,19730101.0,20140206.0
942870,99999,CAIRNS AERO,AU,YBCS,-16.883,145.75,30.0,19421231.0,20140206.0
962950,99999,TANJUNG KARANG/RADI,ID,WIIT,-5.1,105.18299999999999,960.0,19730101.0,20140206.0
972700,99999,BIMA/M.SALAHUDDIN,ID,WRRB,-8.55,118.7,20.0,19820101.0,20140206.0
985530,99999,BORONGAN,PH,RPVW,11.667,125.45,30.0,19590101.0,20140205.0
994014,99999,SEATTLE,US,EBSW1,47.6,-122.333,20.0,20050419.0,20140206.0
994710,99999,BAFFIN BAY,US,BABT2,27.3,-97.417,40.0,20040608.0,20140206.0
996470,99999,ENVIRONM BUOY 46054,US,DB647,34.266999999999996,-120.45,0.0,19910722.0,20140206.0
997260,99999,HARBOR BEACH,US,HRBM4,43.85,-82.633,1880.0,20041122.0,20140206.0
997369,99999,PORT ISABEL,US,PTIT2,26.05,-97.21700000000001,100.0,20050405.0,20140206.0
997813,99999,SW BERING SEA,US,46070,55.003,175.28599999999997,30.0,20070401.0,20140206.0
998212,99999,CAMPBELL PARK,US,CAMF1,27.767,-82.65,150.0,20080915.0,20140205.0
998429,99999,NOKOLSKI,US,OLSA2,52.941,-168.87099999999998,50.0,20100821.0,20140206.0
